PCODE,SHORT_NAME,LONG_NAME,Units,Threshold_Val_txt,Threshold_Type
82679,"Propanil, w,gf<.7u","Propanil, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,6,HBSL
82680,"Carbaryl, w,gf<.7u","Carbaryl, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,400,HBSL
82681,"Thiobencarb,w,gf<.7u","Thiobencarb, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,70,MCL-CA
82682,"DCPA, w,gf<.7u","DCPA, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,70,HBSL
82683,"Pendimethalin, gf.7u","Pendimethalin, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,20,HBSL
82685,"Propargite, w,gf<.7u","Propargite, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,100,HBSL
82686,"Azinphos-methyl,gf.7","Azinphos-methyl, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,10,HBSL
82687,"cis-Permethrin,gf.7u","cis-Permethrin, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,400,HBSL
84138,"Total coliforms, w","Total coliform, water, presence or absence",,,
85795,"m- + p-Xylene, wu","m-Xylene plus p-xylene, water, unfiltered, recoverable, micrograms per liter",µg/L,1750,MCL-CA
90797,"Carbamazepine-d10,sr","Carbamazepine-d10, surrogate, pharmaceutical method, water, filtered, percent recovery",%,,
90900,"Tot. coliform, MI,w","Total coliform, MI MF method, water, colonies per 100 milliliters",percent,5,MCL-US
90901,"E. coli, MI,w","Escherichia coli, MI MF method, water, colonies per 100 milliliters",unitless,,
91132,Spike Volume,"Spike Volume, in ul, Lab Code 80004",,,
99332,"Cphg,sm,Ec,CN13-h,1L","Coliphage, somatic, E. coli CN13-host, 2-step enrichment, water, presence or absence per l",unitless,,
99335,"Cphg,F-sp,Ec,FAMP,1L","Coliphage, F-specific, E. coli FAMP-host, 2-step enrichment, water, presence or absence pe",unitless,,
99571,Ethyl nicotinate-d4,"Ethyl nicotinate-d4, surrogate, water, filtered, percent recovery",,,
99572,"SampVol, pharm meth","Sample volume, pharmaceutical method, water, filtered, milliliters",,,
99595,"Tot coli,ColilrtPA,w","Total coliform, Colilert PA method, water, presence or absence per liter",,,
99596,"E coli,Colilert PA,w","Escherichia coli, Colilert PA method, water, presence or absence per liter",,,
