PCODE,SHORT_NAME,LONG_NAME,Units,Threshold_Val_txt,Threshold_Type
34475,"Tetrachloroethene,wu","Tetrachloroethene, water, unfiltered, recoverable, micrograms per liter",µg/L,5,MCL-US
34488,"CFC-11, wu","Trichlorofluoromethane, water, unfiltered, recoverable, micrograms per liter",µg/L,150,MCL-CA
34496,"1,1-DiClEthane, wu","1,1-Dichloroethane, water, unfiltered, recoverable, micrograms per liter",µg/L,5,MCL-CA
34501,"11Dichloroethene, wu","1,1-Dichloroethene, water, unfiltered, recoverable, micrograms per liter",µg/L,6,MCL-CA
34506,"1,1,1-TriClEthane,wu","1,1,1-Trichloroethane, water, unfiltered, recoverable, micrograms per liter",µg/L,200,MCL-US
34511,"1,1,2-TriClEthane,wu","1,1,2-Trichloroethane, water, unfiltered, recoverable, micrograms per liter",µg/L,5,MCL-US
34516,"1122TetraClEthane,wu","1,1,2,2-Tetrachloroethane, water, unfiltered, recoverable, micrograms per liter",µg/L,1,MCL-CA
34536,"12Dichlorobenzene,wu","1,2-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",µg/L,600,MCL-US
34541,"1,2-DiClPropane, wu","1,2-Dichloropropane, water, unfiltered, recoverable, micrograms per liter",µg/L,5,MCL-US
34546,"tr-1,2-DiClEthene,wu","trans-1,2-Dichloroethene, water, unfiltered, recoverable, micrograms per liter",µg/L,10,MCL-CA
34551,124-Trichlorobenzene,"1,2,4-Trichlorobenzene, water, unfiltered, recoverable, micrograms per liter",µg/L,5,MCL-CA
34566,"13Dichlorobenzene,wu","1,3-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",µg/L,600,HBSL
34571,"14Dichlorobenzene,wu","1,4-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",µg/L,5,MCL-CA
34668,"CFC-12, wu","Dichlorodifluoromethane, water, unfiltered, recoverable, micrograms per liter",µg/L,1000,HBSL
34696,"Naphthalene, wu","Naphthalene, water, unfiltered, recoverable, micrograms per liter",µg/L,100,HBSL
34699,"tr-1,3DiClPropene,wu","trans-1,3-Dichloropropene, water, unfiltered, recoverable, micrograms per liter",µg/L,0.5,MCL-CA
34704,"cis1,3DiClPropene,wu","cis-1,3-Dichloropropene, water, unfiltered, recoverable, micrograms per liter",µg/L,0.5,MCL-CA
38442,"Dicamba, w,gf<.7u","Dicamba, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,3000,HBSL
38454,"Dicrotophos, wf","Dicrotophos, water, filtered, recoverable, micrograms per liter",µg/L,0.05,HBSL
38478,"Linuron, w,gf<.7u","Linuron, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,5,HBSL
38482,"MCPA, w,gf<.7u","MCPA, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,30,HBSL
38487,"MCPB, w,gf<.7u","MCPB, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,30,HBSL
38501,"Mthiocrb, w,gf<.7u","Methiocarb, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,40,HBSL
38538,"Propoxur, w,gf<.7u","Propoxur, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,3,HAL-US
38548,"Siduron, wf","Siduron, water, filtered, recoverable, micrograms per liter",µg/L,1000,HBSL
38711,"Bentazon, w,gf<.7u","Bentazon, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,18,MCL-CA
38746,"2,4-DB, w,gf<.7u","2,4-DB, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,200,HBSL
